id,months_on_book,status,dpd,payment_amount
1092,48,Paid,108,5277
1093,22,Late,104,3921
1094,14,Late,79,8229
1095,9,Paid,15,13291
1096,14,Paid,64,608
1097,16,Paid,50,1704
1098,30,Late,86,3537
1099,32,Paid,91,14849
1100,6,Late,31,6604
1101,17,Paid,114,1078
1102,1,Paid,52,6873
1103,18,Paid,99,3079
1104,11,Paid,100,6064
1105,11,Paid,2,12938
1106,28,Paid,114,7178
1107,12,Paid,12,4488
1108,34,Paid,91,10733
1109,16,Paid,91,10104
1110,54,Paid,57,4135
1111,10,Paid,44,9916
1112,58,Paid,23,8602
1113,53,Paid,50,8201
1114,46,Late,12,710
1115,39,Paid,23,9272
1116,8,Late,4,10423
1117,26,Late,80,5061
1118,42,Paid,49,13432
1119,42,Paid,75,8112
1120,42,Paid,118,13018
1121,14,Paid,48,6125
1122,51,Paid,17,11328
1123,9,Paid,32,8945
1124,49,Paid,57,11469
1125,19,Late,30,9923
1126,34,Paid,118,6255
1127,47,Paid,33,7166
1128,38,Paid,93,566
1129,29,Paid,108,2359
1130,29,Paid,95,11620
1131,28,Default,73,8572
1132,48,Paid,30,14161
1133,49,Late,98,10790
1134,24,Paid,78,11552
1135,28,Paid,26,14255
1136,42,Paid,58,6189
1137,44,Late,26,6719
1138,58,Late,118,7337
1139,12,Paid,0,6386
1140,19,Paid,75,14884
1141,6,Paid,67,12672
1142,2,Paid,22,14984
1143,53,Paid,97,13534
1144,50,Paid,51,7901
1145,39,Paid,56,12552
1146,31,Paid,86,11662
1147,37,Paid,50,8504
1148,56,Paid,82,8772
1149,54,Paid,83,6954
1150,29,Late,62,8264
1151,40,Late,83,14260
1152,12,Paid,92,11779
1153,57,Late,76,6619
1154,55,Paid,27,12935
1155,33,Paid,23,9075
1156,57,Paid,21,4004
1157,47,Paid,85,3899
1158,45,Late,39,12577
1159,25,Paid,74,5980
1160,42,Paid,7,3161
1161,18,Paid,95,4072
1162,30,Paid,87,14389
1163,18,Paid,11,13361
1164,7,Paid,48,2923
1165,15,Paid,103,6764
1166,30,Late,20,6322
1167,5,Paid,66,12947
1168,5,Paid,38,8134
1169,33,Paid,108,11008
1170,6,Paid,61,6813
1171,48,Late,81,7666
1172,40,Late,105,11517
1173,4,Paid,57,6818
1174,13,Paid,61,6862
1175,51,Paid,69,1967
1176,42,Paid,35,1968
1177,26,Paid,44,3117
1178,49,Paid,78,9447
1179,20,Paid,112,10989
1180,32,Paid,108,8204
1181,32,Paid,14,8250
1182,50,Paid,61,11119
1183,37,Paid,37,3377
1184,44,Paid,114,10400
1185,58,Paid,63,3598
1186,1,Paid,107,6439
1187,25,Late,115,5806
1188,25,Paid,115,11720
1189,53,Paid,87,10526
1190,1,Paid,70,3087
1191,3,Paid,8,14600
1192,39,Late,74,661
1193,21,Late,79,14882
1194,43,Paid,70,5390
1195,25,Late,24,4354
1196,52,Paid,77,1016
1197,21,Paid,64,12083
1198,47,Late,19,6916
1199,3,Paid,27,8571
1200,40,Paid,48,6700
1201,29,Late,101,2860
1202,35,Paid,33,13538
1203,22,Paid,72,13683
1204,23,Paid,111,10213
1205,13,Paid,19,6626
1206,34,Paid,106,11037
1207,23,Paid,115,7608
1208,35,Paid,101,8489
1209,19,Paid,94,12419
1210,15,Paid,84,1608
1211,53,Paid,21,3487
1212,15,Paid,76,12052
1213,52,Late,43,5502
1214,26,Paid,46,12955
1215,39,Late,24,2543
1216,3,Paid,21,13275
1217,57,Paid,101,6206
1218,17,Paid,60,1039
1219,30,Late,51,2193
1220,28,Paid,118,9121
1221,34,Paid,19,9537
1222,16,Late,95,8294
1223,43,Paid,79,7582
1224,41,Paid,116,14664
1225,11,Paid,19,11854
1226,24,Paid,104,7920
1227,23,Paid,85,13653
1228,25,Paid,105,13563
1229,37,Late,101,9246
1230,13,Late,44,3348
1231,19,Paid,36,7640
1232,45,Paid,14,8234
1233,34,Paid,75,9517
1234,54,Paid,8,6152
1235,2,Paid,100,11170
1236,8,Paid,43,2854
1237,5,Paid,14,11152
1238,11,Late,43,2563
1239,2,Paid,119,10039
1240,38,Paid,117,9695
1241,54,Paid,85,14156
1242,32,Paid,11,14392
1243,24,Paid,26,12934
1244,12,Late,18,4190
1245,38,Paid,110,9370
1246,16,Paid,24,8505
1247,51,Default,73,1041
1248,24,Late,98,1551
1249,50,Paid,63,7424
1250,41,Paid,107,10466
1251,54,Late,11,566
1252,17,Paid,49,12339
1253,32,Default,71,13357
1254,20,Default,10,9686
1255,49,Late,102,5104
1256,35,Default,82,3383
1257,30,Paid,22,8445
1258,47,Paid,87,6054
1259,42,Paid,14,3897
1260,22,Paid,62,8436
1261,31,Paid,19,8692
1262,51,Paid,88,8570
1263,37,Late,119,6211
1264,24,Paid,77,9931
1265,24,Paid,9,8563
1266,13,Paid,111,7159
1267,25,Late,113,12035
1268,31,Paid,60,8378
1269,36,Paid,92,4965
1270,14,Paid,46,10252
1271,53,Paid,117,9084
1272,20,Late,48,6398
1273,39,Paid,48,698
1274,28,Paid,75,5672
1275,25,Paid,32,5146
1276,38,Paid,86,4554
1277,43,Paid,77,1142
1278,11,Late,22,7354
1279,18,Late,112,14326
1280,39,Paid,52,9206
1281,19,Late,36,12090
1282,56,Late,21,10178
1283,3,Late,92,3786
1284,41,Paid,99,4461
1285,46,Paid,1,7709
1286,49,Paid,19,12920
1287,54,Late,4,5660
1288,27,Paid,90,14180
1289,58,Late,2,8104
1290,23,Paid,81,6096
1291,35,Paid,76,10054
1292,38,Late,85,7025
1293,43,Default,76,2506
1294,13,Paid,11,5135
1295,26,Paid,31,12796
1296,14,Paid,57,2546
1297,35,Paid,99,2984
1298,41,Paid,70,8539
1299,6,Paid,69,7654
1300,43,Paid,39,6524
1301,8,Paid,100,2267
1302,52,Paid,5,6073
1303,40,Paid,62,2818
1304,53,Default,24,13410
1305,47,Paid,90,6905
1306,15,Paid,68,13160
1307,8,Paid,82,9186
1308,45,Paid,72,13701
1309,47,Paid,49,8651
1310,16,Default,39,10201
1311,29,Late,0,11498
1312,34,Paid,45,3173
1313,29,Paid,72,4709
1314,35,Paid,38,1745
1315,48,Paid,9,9414
1316,10,Paid,112,11309
1317,52,Paid,106,11087
1318,1,Paid,48,12810
1319,5,Paid,13,971
1320,3,Late,45,12775
1321,39,Paid,39,6670
1322,50,Default,88,10221
1323,14,Paid,113,6464
1324,46,Paid,18,1086
1325,27,Paid,113,8561
1326,46,Late,16,3586
1327,29,Paid,81,889
1328,1,Paid,45,7436
1329,18,Paid,103,10730
1330,3,Late,113,4626
1331,26,Paid,72,9470
1332,21,Paid,64,12599
1333,54,Late,69,1474
1334,24,Paid,37,9571
1335,45,Late,101,13579
1336,52,Paid,102,12545
1337,47,Paid,16,11787
1338,20,Paid,72,4426
1339,29,Paid,10,9784
1340,18,Default,52,3170
1341,3,Paid,119,12429
1342,51,Paid,17,2641
1343,47,Paid,108,5615
1344,50,Paid,109,6429
1345,33,Paid,100,4185
1346,18,Paid,6,12323
1347,37,Paid,34,8941
1348,56,Paid,43,4390
1349,21,Paid,70,4022
1350,44,Paid,38,6247
1351,19,Paid,10,3973
1352,23,Late,9,7753
1353,20,Late,97,4070
1354,55,Paid,87,8719
1355,24,Paid,75,11793
1356,19,Paid,8,7669
1357,26,Paid,85,5052
1358,33,Paid,101,10164
1359,32,Paid,109,3351
1360,56,Paid,95,12268
1361,54,Paid,7,8753
1362,35,Late,47,13737
1363,25,Default,20,6671
1364,33,Paid,79,6931
1365,24,Paid,96,9901
1366,57,Paid,105,9273
1367,58,Late,88,11888
1368,49,Late,114,7818
1369,9,Paid,102,10553
1370,37,Late,5,2415
1371,37,Default,58,11187
1372,11,Paid,67,9161
1373,21,Paid,22,8338
1374,59,Paid,72,1542
1375,17,Paid,99,12475
1376,16,Paid,74,6651
1377,5,Paid,117,14279
1378,44,Paid,34,2867
1379,46,Late,11,10443
1380,10,Paid,98,14449
1381,13,Paid,70,9244
1382,47,Paid,56,6504
1383,58,Paid,28,9894
1384,6,Late,84,14330
1385,37,Paid,66,3056
1386,16,Paid,60,6823
1387,6,Late,60,8763
1388,29,Paid,117,13518
1389,25,Paid,87,13534
1390,23,Paid,29,1782
1391,11,Paid,26,644
1392,29,Paid,92,6392
1393,21,Paid,29,8665
1394,26,Late,99,2018
1395,41,Late,54,7740
1396,53,Paid,22,5990
1397,37,Paid,36,3641
1398,11,Paid,25,5755
1399,38,Paid,113,6559
1400,24,Paid,35,9613
1401,17,Paid,91,3747
1402,9,Paid,62,12871
1403,8,Late,36,781
1404,30,Late,50,14893
1405,7,Paid,67,11113
1406,37,Paid,92,2531
1407,49,Late,107,9133
1408,23,Paid,77,11532
1409,9,Paid,107,4354
1410,19,Paid,62,8446
1411,44,Paid,108,5203
1412,8,Paid,36,13523
1413,48,Paid,96,14841
1414,46,Late,114,6133
1415,14,Late,30,10250
1416,51,Paid,77,9296
1417,28,Paid,24,13233
1418,35,Paid,72,2577
1419,7,Default,24,3139
1420,6,Paid,104,4084
1421,30,Late,45,3776
1422,37,Late,88,12695
1423,16,Late,29,9972
1424,43,Paid,19,13193
1425,55,Late,22,4440
1426,57,Paid,0,2512
1427,1,Late,14,12337
1428,42,Paid,20,12355
1429,17,Paid,29,11295
1430,53,Late,10,10748
1431,56,Late,113,8268
1432,55,Paid,89,14361
1433,7,Paid,51,10761
1434,35,Paid,29,9372
1435,57,Late,8,757
1436,5,Paid,68,12916
1437,27,Paid,46,9725
1438,30,Paid,110,12374
1439,44,Paid,33,4171
1440,42,Late,32,8869
1441,35,Paid,97,1247
1442,16,Late,64,4002
1443,6,Paid,50,3233
1444,16,Default,78,4285
1445,56,Paid,30,7769
1446,8,Paid,55,3463
1447,20,Default,75,9319
1448,31,Paid,70,5311
1449,20,Late,44,687
1450,9,Paid,32,8202
1451,30,Paid,105,7434
1452,13,Default,95,8252
1453,26,Paid,50,1329
1454,2,Late,118,5751
1455,41,Late,4,2256
1456,45,Paid,37,1678
1457,46,Paid,4,2512
1458,24,Paid,55,11052
1459,13,Paid,80,3895
1460,51,Paid,70,6965
1461,16,Paid,88,12474
1462,18,Paid,24,3884
1463,16,Late,66,542
1464,2,Paid,51,8611
1465,1,Paid,35,14818
1466,10,Paid,119,1023
1467,25,Late,91,4686
1468,14,Paid,22,5033
1469,17,Paid,7,3657
1470,18,Default,30,7518
1471,7,Paid,62,10301
1472,21,Paid,20,3496
1473,29,Late,108,12615
1474,27,Paid,98,8979
1475,49,Paid,104,4807
1476,4,Paid,104,12152
1477,12,Paid,105,8336
1478,22,Paid,49,4814
1479,40,Paid,119,845
1480,34,Paid,28,9726
1481,26,Paid,59,13840
1482,28,Paid,66,14447
1483,19,Paid,43,5215
1484,31,Paid,88,13447
1485,14,Default,1,10782
1486,23,Late,107,9273
1487,17,Paid,104,14971
1488,23,Paid,97,9888
1489,17,Paid,14,11106
1490,8,Late,102,10549
1491,38,Paid,38,3761
1492,10,Paid,39,3242
1493,30,Late,46,14414
1494,7,Paid,75,3993
1495,2,Paid,115,14791
1496,47,Paid,51,6609
1497,22,Late,87,1360
1498,5,Late,5,14338
1499,3,Paid,69,11540
1500,9,Paid,47,7422
1501,5,Paid,57,4507
1502,56,Late,100,2379
1503,20,Paid,89,4764
1504,29,Default,2,1400
1505,6,Paid,95,1399
1506,4,Paid,45,3790
1507,36,Late,17,8413
1508,57,Paid,55,7607
1509,21,Paid,91,3048
1510,17,Late,32,13824
1511,15,Paid,16,4744
1512,27,Paid,31,2814
1513,39,Paid,75,8705
1514,19,Paid,100,14816
1515,43,Paid,84,1773
1516,3,Default,1,919
1517,28,Paid,25,6016
1518,47,Late,38,13368
1519,22,Paid,62,5896
1520,51,Paid,16,8636
1521,49,Paid,115,3924
1522,6,Paid,99,3679
1523,55,Paid,33,3498
1524,31,Default,18,7748
1525,5,Paid,61,13646
1526,13,Default,31,14260
1527,49,Paid,49,13222
1528,34,Paid,85,8888
1529,50,Paid,113,9023
1530,10,Late,44,14860
1531,56,Paid,102,3340
1532,40,Paid,53,14975
1533,40,Late,81,1105
1534,50,Paid,114,1827
1535,44,Late,87,2510
1536,28,Default,0,5956
1537,21,Paid,104,3537
1538,37,Default,65,5438
1539,36,Paid,39,12692
1540,56,Late,23,5436
1541,56,Late,103,5253
1542,28,Paid,51,10228
1543,13,Late,1,1081
1544,57,Paid,60,7893
1545,36,Paid,26,2168
1546,1,Late,65,1014
1547,43,Paid,86,9293
1548,9,Paid,32,7512
1549,49,Paid,33,14555
1550,20,Paid,61,1977
1551,43,Default,31,4350
1552,42,Paid,2,2366
1553,17,Late,54,8542
1554,3,Paid,26,1819
1555,51,Late,75,4697
1556,32,Late,7,3635
1557,55,Paid,19,2115
1558,35,Late,51,3271
1559,6,Paid,16,2631
1560,58,Late,108,3021
1561,52,Paid,32,6957
1562,6,Late,54,10966
1563,25,Paid,74,8411
1564,28,Paid,72,10995
1565,39,Paid,97,13024
1566,1,Paid,107,5085
1567,40,Paid,106,3212
1568,16,Paid,70,5905
1569,20,Paid,15,10395
1570,24,Late,90,9228
1571,15,Paid,78,12797
1572,51,Paid,63,9056
1573,10,Paid,87,14124
1574,12,Paid,100,5270
1575,37,Paid,112,2830
1576,35,Paid,39,4591
1577,27,Paid,57,6193
1578,13,Paid,82,7363
1579,30,Late,116,912
1580,51,Paid,22,854
1581,3,Late,102,2696
1582,52,Paid,94,8860
1583,35,Paid,93,7058
1584,48,Paid,6,4742
1585,12,Paid,58,10207
1586,50,Paid,108,13081
1587,29,Paid,58,5523
1588,30,Paid,113,5623
1589,22,Paid,113,14913
1590,17,Paid,2,13364
1591,53,Paid,101,8795
1592,27,Late,111,11334
1593,22,Paid,29,1571
1594,49,Paid,9,7536
1595,49,Late,97,11003
1596,7,Paid,12,13499
1597,46,Paid,38,6820
1598,11,Paid,76,14521
1599,16,Late,63,11350
1600,54,Paid,24,13096
1601,57,Paid,40,11634
1602,36,Late,97,2663
1603,51,Late,39,11311
1604,22,Late,61,5041
1605,40,Default,39,1982
1606,37,Paid,103,3968
1607,3,Paid,33,12620
1608,35,Paid,78,2342
1609,49,Paid,2,5008
1610,38,Late,51,14343
1611,42,Default,45,5910
1612,55,Late,85,9805
1613,41,Paid,97,870
1614,38,Paid,68,14407
1615,24,Paid,40,9946
1616,54,Late,85,10078
1617,34,Paid,59,10268
1618,35,Paid,28,7394
1619,11,Paid,7,13983
1620,15,Late,97,13087
1621,14,Paid,3,11897
1622,45,Paid,117,8370
1623,17,Late,115,2411
1624,21,Late,24,2149
1625,28,Paid,49,11342
1626,43,Paid,22,12060
1627,38,Paid,24,6110
1628,22,Paid,97,5597
1629,34,Paid,107,10451
1630,1,Default,69,7134
1631,23,Paid,97,8842
1632,32,Paid,20,8729
1633,4,Paid,107,9746
1634,41,Paid,93,13187
1635,43,Late,55,4206
1636,56,Default,2,1398
1637,6,Paid,78,3651
1638,16,Paid,20,1382
1639,10,Paid,82,9347
1640,35,Paid,82,6199
1641,24,Late,48,10808
1642,10,Paid,45,3753
1643,12,Late,97,9935
1644,33,Late,118,11594
1645,27,Late,77,5405
1646,25,Paid,67,12979
1647,10,Late,30,2673
1648,25,Late,45,10246
1649,32,Paid,74,7244
1650,42,Late,43,1094
1651,56,Paid,44,5937
1652,26,Late,74,13046
1653,4,Paid,48,12539
1654,9,Paid,3,7373
1655,27,Paid,79,10130
1656,9,Paid,56,10502
1657,44,Paid,55,14442
1658,26,Paid,37,9412
1659,11,Paid,5,13108
1660,53,Paid,81,1320
1661,38,Late,116,10496
1662,32,Paid,88,10286
1663,59,Paid,23,11948
1664,30,Paid,51,12702
1665,39,Paid,38,511
1666,9,Paid,110,12499
1667,11,Paid,72,6731
1668,23,Paid,36,6741
1669,17,Paid,97,907
1670,32,Paid,33,6557
1671,11,Paid,39,10108
1672,57,Paid,119,6307
1673,22,Paid,39,4663
1674,50,Paid,36,8611
1675,58,Paid,91,4236
1676,32,Paid,49,12631
1677,9,Late,111,14475
1678,17,Paid,10,3338
1679,53,Paid,77,14170
1680,25,Paid,58,11842
1681,16,Default,25,9036
1682,46,Paid,59,5296
1683,33,Paid,7,6763
1684,2,Paid,27,3422
1685,43,Paid,83,11773
1686,39,Default,59,5177
1687,42,Paid,88,10983
1688,12,Late,9,3887
1689,43,Paid,62,4432
1690,34,Paid,60,12231
1691,25,Paid,117,4404
1692,14,Paid,74,1993
1693,9,Paid,25,12588
1694,59,Paid,22,8290
1695,30,Paid,62,5834
1696,12,Paid,18,973
1697,10,Paid,17,7169
1698,24,Late,49,7447
1699,34,Late,18,7922
1700,12,Paid,102,1779
1701,26,Paid,103,1343
1702,32,Paid,14,4098
1703,35,Paid,15,5412
1704,13,Default,19,6467
1705,19,Late,18,8635
1706,56,Paid,74,5791
1707,13,Paid,70,8677
1708,56,Paid,18,5441
1709,22,Paid,87,12405
1710,48,Paid,30,13162
1711,23,Paid,51,12223
1712,1,Paid,47,1074
1713,8,Paid,7,8971
1714,45,Paid,49,1267
1715,39,Paid,60,4085
1716,53,Paid,87,5189
1717,53,Paid,7,7543
1718,34,Paid,12,9295
1719,13,Paid,73,3276
1720,44,Paid,18,7067
1721,49,Paid,49,11258
1722,41,Paid,22,2016
1723,10,Default,56,11243
1724,3,Paid,105,14271
1725,28,Late,96,8240
1726,27,Paid,29,13215
1727,21,Paid,93,10218
1728,11,Paid,28,6752
1729,24,Paid,100,10182
1730,12,Paid,60,6071
1731,7,Paid,34,14965
1732,55,Paid,8,7115
1733,42,Paid,71,8736
1734,32,Default,111,3966
1735,10,Paid,24,6091
1736,28,Late,105,5870
1737,26,Paid,63,8602
1738,29,Paid,114,10940
1739,27,Paid,109,3694
1740,52,Late,118,10234
1741,10,Late,36,12816
1742,4,Paid,37,2006
1743,42,Paid,7,10379
1744,22,Paid,89,2870
1745,10,Paid,74,6900
1746,4,Paid,39,13396
1747,7,Paid,22,2919
1748,50,Paid,95,10145
1749,23,Paid,44,1822
1750,3,Paid,0,13693
1751,24,Paid,48,3138
1752,47,Paid,111,3134
1753,37,Late,117,7153
1754,30,Paid,8,1499
1755,41,Late,39,7088
1756,52,Paid,27,6611
1757,12,Late,96,6681
1758,21,Late,95,10375
1759,48,Paid,7,6995
1760,43,Paid,36,3003
1761,17,Paid,81,11494
1762,3,Paid,70,4392
1763,15,Paid,17,8234
1764,36,Late,111,11780
1765,32,Late,75,7585
1766,9,Paid,67,7255
1767,40,Late,76,7029
1768,50,Late,74,9187
1769,22,Paid,79,999
1770,36,Paid,43,13950
1771,32,Paid,77,13377
1772,59,Paid,15,6085
1773,5,Paid,51,14589
1774,58,Paid,52,11018
1775,41,Paid,85,4939
1776,48,Paid,17,13855
1777,4,Paid,39,3818
1778,48,Paid,60,14684
1779,5,Paid,24,2987
1780,7,Paid,34,1423
1781,11,Paid,70,11534
1782,39,Late,83,13987
1783,6,Paid,26,4539
1784,29,Default,92,1522
1785,51,Paid,9,5171
1786,17,Paid,74,2850
1787,28,Paid,19,5090
1788,57,Paid,32,11763
1789,38,Paid,106,9508
1790,19,Paid,100,14645
1791,49,Paid,117,1056
1792,44,Late,76,4653
1793,12,Default,79,13662
1794,45,Paid,10,13876
1795,38,Late,68,10097
1796,19,Default,101,11740
1797,33,Default,66,9315
1798,45,Paid,58,5878
1799,5,Paid,65,4173
1800,1,Paid,52,3813
1801,35,Late,37,12090
1802,35,Paid,9,8957
1803,47,Paid,5,6909
1804,47,Paid,84,11546
1805,31,Paid,94,14388
1806,54,Paid,33,8036
1807,36,Paid,48,2861
1808,40,Paid,31,7911
1809,35,Late,28,7960
1810,40,Paid,117,4467
1811,12,Paid,64,11070
1812,55,Paid,32,6421
1813,18,Paid,101,9597
1814,28,Paid,16,3649
1815,13,Late,97,7151
1816,30,Paid,48,3888
1817,40,Late,15,11189
1818,17,Late,6,7770
1819,9,Paid,99,7229
1820,39,Paid,12,8720
1821,22,Paid,83,10405
1822,56,Paid,3,14132
1823,57,Late,62,10079
1824,15,Late,68,7916
1825,29,Paid,79,3319
1826,56,Paid,72,12884
1827,54,Paid,106,9441
1828,16,Paid,75,14475
1829,20,Paid,77,9372
1830,25,Paid,14,5641
1831,40,Paid,4,5117
1832,24,Paid,41,3103
1833,16,Paid,17,1677
1834,51,Paid,71,14209
1835,16,Paid,7,11903
1836,58,Paid,88,10759
1837,25,Paid,67,4053
1838,46,Paid,114,6635
1839,55,Paid,25,8982
1840,48,Paid,74,12128
1841,1,Late,69,713
1842,50,Late,32,8153
1843,59,Late,21,9348
1844,50,Paid,92,3983
1845,33,Paid,68,2371
1846,49,Paid,0,11672
1847,52,Paid,85,13029
1848,7,Paid,34,11223
1849,38,Paid,55,5898
1850,45,Late,94,1234
1851,28,Paid,66,14978
1852,39,Paid,2,10624
1853,28,Paid,70,4481
1854,32,Paid,0,1481
1855,24,Paid,41,11644
1856,8,Late,57,12923
1857,44,Paid,87,961
1858,32,Late,115,4712
1859,28,Paid,100,2106
1860,48,Paid,93,12598
1861,3,Paid,95,12119
1862,7,Paid,95,11786
1863,6,Paid,84,13892
1864,29,Paid,111,3356
1865,45,Paid,63,13802
1866,14,Paid,79,5708
1867,45,Paid,3,3402
1868,59,Paid,16,4030
1869,40,Paid,76,13672
1870,19,Paid,98,6324
1871,46,Paid,39,14350
1872,59,Late,33,6623
1873,25,Paid,55,2522
1874,37,Late,10,12493
1875,18,Paid,99,2355
1876,4,Paid,88,1518
1877,55,Late,39,13372
1878,1,Paid,93,10193
1879,33,Paid,12,12638
1880,28,Paid,23,10194
1881,41,Paid,99,6312
1882,19,Late,33,4093
1883,33,Paid,7,5670
1884,15,Paid,118,14483
1885,45,Paid,81,3764
1886,23,Paid,6,3259
1887,29,Late,61,602
1888,39,Late,112,2173
1889,14,Paid,45,2379
1890,30,Paid,85,9951
1891,2,Paid,70,9030
1892,13,Paid,12,11953
1893,40,Paid,1,11880
1894,28,Paid,107,10810
1895,31,Default,1,3516
1896,12,Paid,28,13609
1897,13,Late,90,5587
1898,3,Late,103,8390
1899,29,Paid,81,10650
1900,51,Paid,57,6416
1901,30,Paid,1,7939
1902,12,Paid,58,3802
1903,21,Paid,52,2463
1904,2,Paid,67,4022
1905,52,Paid,60,10424
1906,50,Late,48,12217
1907,16,Default,45,6404
1908,32,Paid,71,6173
1909,28,Paid,99,11859
1910,9,Paid,58,11035
1911,54,Default,47,12033
1912,17,Late,8,3219
1913,57,Paid,17,14238
1914,56,Paid,49,5593
1915,50,Paid,85,7586
1916,19,Late,108,12426
1917,7,Paid,74,14895
1918,36,Default,26,6655
1919,40,Paid,31,5193
1920,1,Default,65,11729
1921,42,Paid,65,2152
1922,36,Paid,93,11821
1923,49,Paid,21,11529
1924,39,Paid,85,2227
1925,57,Late,23,2877
1926,1,Paid,90,2903
1927,48,Paid,74,5071
1928,24,Paid,12,14666
1929,10,Paid,90,11531
1930,11,Paid,14,8655
1931,38,Paid,111,4027
1932,22,Paid,111,9223
1933,56,Paid,48,12406
1934,31,Paid,16,12474
1935,1,Paid,38,9226
1936,41,Paid,72,2990
1937,11,Paid,86,1878
1938,6,Paid,3,12308
1939,51,Paid,56,2918
1940,45,Paid,14,545
1941,17,Late,42,11798
1942,14,Late,30,521
1943,32,Late,5,13845
1944,20,Paid,89,13847
1945,53,Paid,58,2648
1946,4,Paid,64,9177
1947,59,Paid,85,3612
1948,39,Paid,29,4093
1949,47,Paid,57,856
1950,22,Late,85,10341
1951,29,Late,96,13178
1952,42,Paid,55,2589
1953,37,Paid,68,3710
1954,13,Paid,35,1988
1955,15,Paid,45,4594
1956,35,Default,73,12859
1957,25,Paid,0,4154
1958,51,Paid,116,13921
1959,3,Paid,11,2142
1960,51,Paid,112,1264
1961,12,Default,66,10811
1962,14,Paid,9,2260
1963,40,Paid,0,11385
1964,32,Paid,18,545
1965,50,Paid,81,1912
1966,4,Paid,108,10307
1967,29,Paid,115,12704
1968,31,Late,94,14947
1969,32,Paid,54,3841
1970,24,Late,48,8725
1971,11,Paid,54,3499
1972,30,Paid,85,14381
1973,49,Paid,67,12581
1974,19,Paid,40,10709
1975,36,Late,54,6860
1976,6,Paid,73,4425
1977,2,Paid,73,2418
1978,39,Paid,78,10155
1979,19,Paid,68,13191
1980,46,Paid,113,768
1981,48,Paid,42,14961
1982,40,Paid,108,6877
1983,18,Paid,80,8661
1984,41,Late,81,8264
1985,36,Paid,56,3408
1986,46,Paid,47,700
1987,56,Paid,49,7259
1988,52,Late,68,6473
1989,54,Late,7,13010
1990,56,Paid,55,1568
1991,53,Paid,109,6290
1992,54,Paid,90,1977
1993,50,Late,88,14492
1994,20,Paid,115,1057
1995,37,Paid,25,6901
1996,1,Paid,108,7279
1997,23,Paid,22,13690
1998,38,Paid,40,5759
1999,20,Paid,86,11059
2000,4,Paid,92,10782
2001,51,Paid,96,5670
2002,49,Paid,58,5446
2003,38,Paid,117,14178
2004,5,Paid,17,8455
2005,6,Paid,70,12160
2006,26,Paid,95,3490
2007,1,Late,104,11720
2008,50,Paid,70,6872
2009,15,Paid,7,14221
2010,16,Late,113,9940
2011,23,Paid,57,6445
2012,41,Paid,84,13795
2013,22,Paid,105,905
2014,54,Paid,16,12078
2015,5,Late,50,14014
2016,43,Paid,32,3232
2017,5,Paid,29,5922
2018,6,Paid,65,13842
2019,2,Paid,59,13666
2020,10,Default,45,6997
2021,54,Paid,99,1936
2022,36,Paid,21,5660
2023,46,Paid,31,12996
2024,35,Paid,112,773
2025,45,Paid,24,8787
2026,23,Late,112,12797
2027,47,Paid,7,5372
2028,16,Paid,96,8615
2029,37,Paid,62,14183
2030,42,Paid,28,5262
2031,35,Late,80,2317
2032,48,Paid,39,3820
2033,40,Paid,44,14408
2034,16,Paid,1,13840
2035,5,Late,48,11068
2036,11,Paid,102,2999
2037,51,Late,111,2727
2038,29,Paid,112,6237
2039,48,Default,30,861
2040,46,Paid,67,2883
2041,11,Paid,105,14964
2042,46,Paid,89,8070
2043,16,Paid,8,9101
2044,25,Late,94,5934
2045,50,Paid,9,4087
2046,3,Paid,50,4401
2047,3,Paid,69,2767
2048,1,Paid,43,5595
2049,12,Paid,25,6316
2050,7,Paid,74,996
2051,43,Paid,78,6831
2052,45,Paid,83,12054
2053,46,Paid,77,11414
2054,32,Paid,107,10079
2055,22,Paid,114,12680
2056,12,Paid,20,5208
2057,6,Default,107,9870
2058,38,Paid,90,13986
2059,39,Late,29,13659
2060,38,Paid,70,13568
2061,41,Paid,100,2857
2062,21,Paid,14,13049
2063,28,Paid,79,10642
2064,32,Paid,106,5194
2065,27,Paid,58,6621
2066,49,Late,83,7828
2067,49,Paid,112,11679
2068,15,Paid,101,2733
2069,33,Paid,83,9753
2070,32,Paid,85,9443
2071,46,Paid,69,13801
2072,34,Paid,107,10259
2073,52,Paid,115,12662
2074,54,Paid,103,11477
2075,7,Paid,19,14429
2076,13,Paid,68,7726
2077,53,Paid,52,1407
2078,39,Paid,74,3159
2079,50,Late,1,3426
2080,6,Paid,29,11937
2081,51,Paid,7,14739
2082,9,Late,39,8594
2083,42,Paid,7,5248
2084,58,Paid,16,12068
2085,4,Late,102,9038
2086,53,Paid,98,7402
2087,30,Paid,29,5688
2088,28,Paid,0,9181
2089,21,Paid,68,2013
2090,12,Late,63,9267
2091,13,Default,79,9869
2092,50,Paid,35,11300
2093,13,Late,78,8390
2094,52,Paid,118,1001
2095,55,Paid,48,8586
2096,27,Paid,80,12780
2097,28,Default,76,4831
2098,18,Paid,23,14031
2099,37,Default,106,6837
2100,16,Paid,111,2806
2101,53,Paid,3,13282
2102,21,Late,110,983
2103,55,Paid,107,5768
2104,10,Paid,109,929
2105,14,Paid,76,14176
2106,55,Paid,61,1690
2107,28,Paid,8,1345
2108,29,Paid,25,13337
2109,47,Paid,46,14863
2110,11,Paid,15,11192
