id,age,gender,education,employment_type,annual_income,loan_amount,loan_term,purpose,home_ownership,dependents
1332,58,Male,Master,Self-Employed,153672,18859,48,Education,Owned,1
1333,54,Male,Bachelor,Salaried,222126,53339,12,Personal,Owned,3
1334,32,Male,High School,Self-Employed,105163,7512,12,Home,Rented,4
1335,39,Male,Bachelor,Self-Employed,180441,85982,48,Education,Rented,0
1336,57,Female,High School,Business,248053,26912,48,Personal,Mortgaged,4
1337,64,Male,Bachelor,Salaried,36689,125639,24,Personal,Rented,5
1338,37,Female,High School,Salaried,101459,120781,60,Home,Mortgaged,0
1339,30,Male,Diploma,Business,58469,107067,12,Car,Owned,3
1340,32,Female,Bachelor,Salaried,247011,17227,36,Personal,Owned,5
1341,36,Female,High School,Self-Employed,152030,149103,36,Personal,Rented,4
1342,44,Female,Bachelor,Self-Employed,80012,38000,24,Home,Mortgaged,1
1343,39,Male,Master,Business,220146,56253,36,Education,Rented,4
1344,28,Male,Diploma,Salaried,80021,115848,24,Personal,Rented,5
1345,51,Male,High School,Salaried,240012,72564,60,Car,Mortgaged,3
1346,41,Male,Master,Salaried,201854,125921,24,Car,Rented,3
1347,37,Female,Bachelor,Business,226591,100969,48,Home,Mortgaged,3
1348,43,Male,Master,Self-Employed,210387,127614,48,Car,Mortgaged,0
1349,57,Female,Bachelor,Business,44642,80186,48,Personal,Rented,4
1350,36,Female,Diploma,Self-Employed,99003,57492,48,Car,Mortgaged,1
1351,26,Male,Master,Business,143714,35364,48,Personal,Owned,1
1352,28,Male,Diploma,Self-Employed,20205,72949,48,Home,Owned,2
1353,45,Male,High School,Salaried,112945,111330,48,Car,Owned,3
1354,38,Female,Bachelor,Salaried,32442,108722,48,Personal,Owned,5
1355,45,Male,Bachelor,Salaried,111826,34854,48,Education,Rented,1
1356,32,Female,Diploma,Business,242716,101742,60,Personal,Owned,3
1357,35,Male,Diploma,Business,156763,124625,48,Personal,Owned,1
1358,46,Female,High School,Business,58909,34655,24,Home,Owned,4
1359,61,Male,Master,Salaried,39504,146024,60,Personal,Owned,2
1360,46,Male,Bachelor,Self-Employed,215342,71156,36,Home,Rented,3
1361,52,Female,Bachelor,Salaried,115698,126232,12,Personal,Owned,0
1362,30,Male,High School,Salaried,209123,20455,60,Personal,Mortgaged,0
1363,36,Male,High School,Self-Employed,189870,137046,48,Personal,Mortgaged,1
1364,27,Male,Diploma,Self-Employed,200402,17679,60,Home,Rented,4
1365,37,Male,Diploma,Self-Employed,107087,32429,12,Personal,Rented,5
1366,43,Male,Master,Self-Employed,229991,23073,12,Home,Rented,3
1367,46,Male,High School,Salaried,233104,75207,48,Education,Owned,2
1368,41,Male,Master,Business,61716,35365,48,Home,Rented,4
1369,42,Female,High School,Salaried,225696,79453,24,Education,Owned,1
1370,27,Female,Bachelor,Self-Employed,198054,111657,12,Home,Rented,4
1371,34,Male,High School,Business,178516,12784,48,Home,Mortgaged,2
1372,35,Male,High School,Business,175806,117529,12,Personal,Mortgaged,4
1373,27,Male,Bachelor,Salaried,192817,135229,24,Car,Owned,3
1374,29,Female,High School,Salaried,54571,125913,36,Car,Rented,1
1375,28,Female,Master,Salaried,243023,148363,12,Personal,Mortgaged,2
1376,43,Male,Diploma,Business,166461,31154,24,Education,Owned,1
1377,49,Female,Diploma,Business,113280,30650,24,Personal,Mortgaged,5
1378,38,Male,Master,Business,235290,100830,24,Car,Rented,3
1379,51,Male,Bachelor,Self-Employed,65038,41201,60,Home,Owned,2
1380,50,Male,High School,Self-Employed,92795,77920,48,Personal,Mortgaged,5
1381,59,Male,Master,Salaried,65168,86451,12,Education,Rented,5
1382,55,Female,Diploma,Business,229154,117169,60,Personal,Owned,5
1383,38,Female,Diploma,Salaried,87690,104978,12,Car,Mortgaged,2
1384,62,Male,Master,Business,225374,47568,60,Home,Mortgaged,1
1385,59,Female,Diploma,Salaried,134053,57204,48,Car,Owned,4
1386,37,Female,Master,Self-Employed,31230,21767,24,Car,Rented,4
1387,34,Male,Diploma,Business,103301,43652,12,Car,Owned,5
1388,51,Female,Master,Self-Employed,156974,89244,24,Car,Mortgaged,0
1389,44,Male,High School,Business,86758,149455,48,Home,Mortgaged,0
1390,55,Male,High School,Salaried,47050,106733,12,Car,Mortgaged,2
1391,64,Male,High School,Business,119805,65089,36,Education,Rented,1
1392,54,Male,High School,Self-Employed,225658,31440,36,Education,Mortgaged,2
1393,23,Female,Diploma,Business,89110,57443,36,Car,Mortgaged,1
1394,57,Male,Bachelor,Salaried,122033,61325,48,Education,Owned,3
1395,63,Female,Master,Business,96693,60919,36,Car,Mortgaged,0
1396,60,Male,Bachelor,Self-Employed,142428,146328,12,Home,Owned,2
1397,46,Male,Diploma,Salaried,39575,45533,36,Home,Mortgaged,3
1398,43,Female,Diploma,Self-Employed,210012,104826,12,Education,Owned,4
1399,64,Male,Bachelor,Business,60244,103995,48,Education,Owned,0
1400,59,Female,Bachelor,Self-Employed,234553,72275,24,Car,Owned,1
1401,35,Female,Diploma,Business,34962,137597,60,Personal,Owned,5
1402,24,Male,Diploma,Salaried,120695,142323,36,Car,Rented,4
1403,49,Male,Master,Self-Employed,110388,113744,60,Car,Mortgaged,4
1404,42,Male,High School,Self-Employed,247292,24507,24,Home,Rented,3
1405,45,Male,High School,Business,97332,18193,48,Personal,Mortgaged,2
1406,33,Male,Master,Self-Employed,175522,102192,48,Personal,Owned,5
1407,38,Male,Bachelor,Self-Employed,204566,69042,24,Car,Mortgaged,2
1408,53,Female,Diploma,Salaried,147386,64516,60,Home,Owned,3
1409,36,Female,Bachelor,Business,65037,75490,36,Education,Mortgaged,4
1410,62,Male,High School,Business,132666,38512,12,Home,Owned,0
1411,64,Female,High School,Salaried,147048,146791,48,Education,Mortgaged,4
1412,22,Female,Bachelor,Salaried,103040,17402,24,Home,Mortgaged,3
1413,55,Male,High School,Business,131264,107880,60,Personal,Mortgaged,4
1414,62,Male,Diploma,Salaried,181113,124764,36,Home,Owned,5
1415,54,Female,Master,Salaried,30715,145288,60,Car,Mortgaged,4
1416,50,Male,Bachelor,Salaried,172875,36050,36,Education,Owned,4
1417,33,Female,Diploma,Business,219978,100808,12,Home,Rented,4
1418,33,Male,Diploma,Salaried,81726,55093,12,Home,Mortgaged,0
1419,38,Female,High School,Self-Employed,152980,10050,24,Education,Owned,1
1420,52,Female,Diploma,Self-Employed,138208,51716,24,Home,Owned,1
1421,52,Female,Bachelor,Business,188147,120455,36,Education,Owned,2
1422,55,Female,Diploma,Salaried,215659,138510,36,Personal,Rented,1
1423,59,Male,Master,Self-Employed,73648,113686,36,Education,Owned,1
1424,49,Male,Diploma,Business,41134,52431,36,Education,Rented,1
1425,49,Female,Diploma,Self-Employed,76143,21760,12,Personal,Rented,4
1426,64,Female,Master,Salaried,89123,48815,24,Home,Owned,4
1427,36,Male,Diploma,Business,246631,145329,24,Home,Mortgaged,5
1428,64,Male,Diploma,Self-Employed,196225,92986,48,Personal,Rented,0
1429,30,Female,High School,Business,153485,30634,24,Car,Owned,4
1430,50,Female,Bachelor,Self-Employed,241646,65403,24,Education,Rented,4
1431,45,Female,High School,Self-Employed,173627,51573,60,Home,Owned,1
1432,59,Female,Bachelor,Salaried,162024,132099,60,Home,Owned,0
1433,40,Female,Master,Salaried,220065,15296,48,Education,Rented,0
1434,25,Male,Master,Self-Employed,225072,26959,36,Education,Owned,1
1435,21,Female,Master,Business,141657,19570,48,Education,Rented,1
1436,50,Male,Bachelor,Business,86686,40423,48,Car,Owned,0
1437,23,Male,Bachelor,Salaried,132841,85263,12,Personal,Mortgaged,3
1438,34,Male,Bachelor,Self-Employed,52264,117446,24,Car,Mortgaged,1
1439,50,Female,Master,Salaried,198625,61963,12,Car,Rented,1
1440,24,Male,Bachelor,Self-Employed,205431,39341,24,Education,Rented,0
1441,38,Male,Diploma,Self-Employed,129885,10597,48,Personal,Rented,3
1442,57,Male,High School,Salaried,249394,146316,24,Home,Rented,5
1443,45,Male,Master,Business,160880,139868,36,Education,Mortgaged,3
1444,21,Female,High School,Salaried,72330,112127,36,Personal,Rented,2
1445,35,Female,Diploma,Self-Employed,134672,80589,48,Home,Owned,3
1446,29,Male,Bachelor,Salaried,58345,88967,60,Car,Owned,1
1447,35,Male,High School,Business,220689,136607,36,Personal,Rented,4
1448,44,Female,Diploma,Business,59222,53469,48,Car,Owned,0
1449,24,Female,Diploma,Self-Employed,77755,49493,12,Car,Rented,5
1450,32,Female,High School,Salaried,28933,50785,60,Personal,Owned,1
1451,57,Male,Master,Business,88207,90017,36,Home,Owned,5
1452,57,Female,High School,Salaried,194811,112771,48,Personal,Rented,0
1453,63,Male,Master,Business,198810,134026,48,Home,Rented,5
1454,26,Male,Bachelor,Self-Employed,247825,35192,12,Education,Mortgaged,3
1455,59,Female,Master,Self-Employed,124691,84941,12,Education,Rented,0
1456,44,Male,Bachelor,Salaried,125137,62544,60,Education,Mortgaged,1
1457,31,Female,High School,Self-Employed,235616,140475,36,Car,Rented,4
1458,33,Male,Bachelor,Business,172955,10017,48,Education,Owned,1
1459,54,Female,Diploma,Self-Employed,118818,53260,60,Car,Mortgaged,2
1460,45,Male,Bachelor,Business,118510,50938,60,Home,Owned,0
1461,27,Male,Master,Business,119251,90265,12,Personal,Rented,1
1462,24,Female,Master,Self-Employed,194473,109120,48,Personal,Rented,3
1463,28,Female,Master,Business,166452,106728,24,Car,Rented,3
1464,40,Female,Bachelor,Business,38212,19628,12,Car,Rented,5
1465,49,Female,Master,Salaried,48174,128239,48,Car,Mortgaged,1
1466,30,Male,Master,Salaried,157933,148573,60,Home,Mortgaged,5
1467,63,Female,Diploma,Salaried,157166,123165,60,Home,Rented,2
1468,54,Female,Bachelor,Self-Employed,124649,94102,36,Education,Owned,0
1469,46,Male,Diploma,Salaried,71319,94360,24,Education,Mortgaged,2
1470,61,Female,Master,Business,197800,124346,12,Personal,Owned,4
1471,23,Female,Master,Self-Employed,175435,73348,36,Education,Rented,5
1472,26,Male,Master,Self-Employed,107846,103348,36,Home,Mortgaged,1
1473,25,Female,Bachelor,Self-Employed,190372,97862,24,Home,Mortgaged,5
1474,25,Female,High School,Self-Employed,74808,14402,12,Home,Mortgaged,2
1475,43,Female,Master,Business,157015,96861,12,Home,Owned,4
1476,29,Female,Master,Business,231177,131121,60,Personal,Rented,2
1477,55,Female,Master,Salaried,62616,112089,12,Personal,Rented,4
1478,40,Female,Master,Self-Employed,94329,31000,36,Home,Mortgaged,3
1479,62,Male,Bachelor,Salaried,176359,94795,60,Car,Mortgaged,3
1480,55,Female,High School,Business,147957,117885,12,Education,Rented,1
1481,38,Male,High School,Self-Employed,185043,10988,24,Personal,Owned,2
1482,37,Male,High School,Business,76152,61999,36,Car,Mortgaged,3
1483,44,Male,Master,Salaried,62351,118174,48,Education,Owned,5
1484,23,Male,Master,Business,211112,65659,24,Car,Owned,0
1485,52,Female,High School,Self-Employed,247977,100343,24,Home,Rented,5
1486,55,Female,High School,Self-Employed,239631,127453,12,Education,Rented,3
1487,58,Female,Master,Salaried,142377,64938,60,Car,Owned,3
1488,33,Male,Master,Self-Employed,80616,10149,60,Personal,Owned,2
1489,45,Female,Diploma,Business,174969,43079,36,Personal,Rented,4
1490,29,Female,Diploma,Business,43010,138556,12,Personal,Mortgaged,0
1491,24,Female,Diploma,Business,191226,118316,60,Education,Owned,0
1492,34,Male,High School,Business,141822,53601,48,Home,Mortgaged,4
1493,57,Male,Bachelor,Salaried,171186,48809,12,Home,Owned,2
1494,54,Female,Master,Business,39050,95636,12,Education,Rented,3
1495,31,Male,Diploma,Salaried,41125,135366,60,Education,Mortgaged,4
1496,61,Male,Bachelor,Business,245166,106477,24,Home,Rented,0
1497,23,Female,Master,Salaried,201468,22857,12,Personal,Owned,0
1498,48,Male,Bachelor,Business,195918,130305,24,Home,Rented,3
1499,49,Male,High School,Business,171468,58709,36,Home,Mortgaged,3
1500,29,Female,High School,Salaried,112661,121839,36,Car,Rented,1
1501,23,Male,High School,Self-Employed,108116,128307,60,Personal,Mortgaged,5
1502,45,Male,Diploma,Self-Employed,139233,127850,36,Education,Rented,4
1503,54,Male,Master,Self-Employed,190045,25948,60,Home,Rented,3
1504,32,Male,High School,Salaried,174646,38782,60,Personal,Mortgaged,1
1505,62,Male,Diploma,Self-Employed,110155,87789,24,Education,Mortgaged,2
1506,29,Male,Diploma,Self-Employed,149843,110217,24,Car,Mortgaged,0
1507,35,Male,Diploma,Salaried,33869,143721,36,Car,Owned,4
1508,60,Male,Diploma,Self-Employed,217266,39723,24,Personal,Rented,5
1509,45,Female,High School,Self-Employed,82167,79314,12,Home,Mortgaged,2
1510,25,Female,Diploma,Self-Employed,207219,95312,48,Education,Owned,4
1511,31,Female,High School,Salaried,163194,16809,12,Personal,Owned,4
1512,54,Female,High School,Salaried,194899,144374,12,Car,Mortgaged,3
1513,44,Male,Diploma,Self-Employed,164407,13100,60,Education,Mortgaged,1
1514,35,Female,High School,Self-Employed,83576,82627,48,Education,Mortgaged,4
1515,58,Female,Master,Salaried,41677,79635,60,Home,Owned,5
1516,28,Male,Master,Self-Employed,179295,60020,24,Car,Owned,2
1517,25,Male,Bachelor,Salaried,180886,10663,24,Car,Rented,5
1518,46,Male,Master,Self-Employed,145662,100440,48,Car,Owned,4
1519,38,Male,High School,Salaried,234683,52136,36,Education,Mortgaged,5
1520,26,Male,High School,Business,194257,111602,24,Car,Rented,5
1521,57,Female,Master,Business,96794,41104,12,Personal,Rented,1
1522,33,Male,Diploma,Salaried,247135,44137,48,Car,Rented,0
1523,48,Female,Diploma,Business,95675,138606,48,Education,Rented,4
1524,25,Female,High School,Self-Employed,62325,72762,24,Car,Mortgaged,2
1525,33,Male,Diploma,Salaried,60503,145657,24,Car,Rented,0
1526,37,Female,Bachelor,Salaried,39514,81438,60,Education,Mortgaged,5
1527,60,Female,Bachelor,Self-Employed,76196,41392,60,Car,Owned,0
1528,52,Male,Master,Self-Employed,171989,89267,12,Home,Mortgaged,3
1529,49,Female,Master,Salaried,205771,47485,48,Education,Rented,3
1530,23,Female,Diploma,Self-Employed,114633,50798,36,Car,Owned,4
1531,60,Female,High School,Salaried,201191,145089,36,Home,Owned,2
1532,54,Male,Master,Self-Employed,103324,95680,48,Personal,Owned,3
1533,60,Male,Bachelor,Salaried,176133,100446,12,Education,Rented,5
1534,47,Male,Master,Self-Employed,161019,94938,60,Car,Mortgaged,1
1535,33,Female,Master,Self-Employed,232152,42232,60,Education,Mortgaged,1
1536,53,Male,Bachelor,Business,105550,102239,60,Home,Rented,5
1537,26,Female,High School,Business,100331,62172,36,Education,Rented,0
1538,44,Male,Master,Business,183704,102305,36,Personal,Owned,5
1539,39,Female,Master,Self-Employed,170424,149818,12,Car,Mortgaged,0
1540,36,Male,Master,Salaried,43653,9094,36,Personal,Rented,0
1541,60,Male,Diploma,Self-Employed,218187,73466,24,Home,Rented,1
1542,48,Female,Master,Business,117294,104067,36,Education,Mortgaged,3
1543,53,Male,Bachelor,Self-Employed,63755,35755,60,Car,Owned,5
1544,61,Female,High School,Business,124296,147624,12,Car,Owned,3
1545,33,Male,High School,Business,118354,34000,48,Home,Owned,4
1546,63,Male,Bachelor,Salaried,91988,62564,48,Home,Mortgaged,2
1547,45,Female,Diploma,Salaried,57921,137933,12,Education,Rented,1
1548,62,Female,Bachelor,Business,210075,48574,24,Car,Rented,0
1549,56,Female,High School,Business,231948,83819,48,Home,Rented,2
1550,47,Male,Bachelor,Self-Employed,66668,96133,60,Car,Rented,0
1551,58,Female,Diploma,Business,75175,82972,48,Education,Mortgaged,2
1552,27,Male,High School,Self-Employed,198810,126237,48,Personal,Owned,2
1553,25,Female,Diploma,Business,73452,98960,60,Home,Owned,3
1554,63,Female,Bachelor,Salaried,219395,79426,36,Education,Owned,4
1555,51,Female,Master,Salaried,66149,43297,24,Personal,Owned,4
1556,43,Female,Bachelor,Business,35839,119147,60,Education,Rented,0
1557,62,Female,Diploma,Self-Employed,22155,13299,60,Home,Rented,1
1558,30,Female,Bachelor,Self-Employed,158091,46384,12,Education,Mortgaged,4
1559,52,Male,Master,Self-Employed,74512,122182,24,Car,Owned,1
1560,63,Female,Diploma,Business,212762,81693,36,Home,Rented,0
1561,50,Male,Bachelor,Business,106150,37687,60,Car,Rented,1
1562,59,Female,Diploma,Salaried,146041,65047,36,Education,Rented,2
1563,51,Female,Diploma,Salaried,46190,146263,60,Home,Owned,2
1564,38,Female,High School,Business,30928,59911,60,Car,Rented,0
1565,56,Male,High School,Salaried,68425,82303,12,Car,Owned,1
1566,22,Male,Diploma,Self-Employed,94134,99165,48,Car,Owned,1
1567,34,Female,Bachelor,Self-Employed,129875,105330,24,Personal,Mortgaged,0
1568,33,Male,Bachelor,Business,237189,97480,12,Car,Mortgaged,4
1569,49,Female,Bachelor,Self-Employed,144264,39623,36,Car,Owned,3
1570,32,Female,Master,Business,200046,118219,60,Education,Owned,4
1571,59,Male,Diploma,Self-Employed,130191,128089,60,Education,Owned,5
1572,22,Male,Diploma,Business,198868,55000,24,Education,Rented,3
1573,52,Male,Master,Self-Employed,199815,76494,12,Education,Rented,1
1574,33,Male,Diploma,Self-Employed,230527,101172,12,Personal,Rented,3
1575,47,Female,Diploma,Salaried,123716,47876,36,Education,Mortgaged,3
1576,61,Male,Master,Salaried,221107,123217,12,Education,Owned,1
1577,37,Male,High School,Salaried,188749,95688,12,Education,Rented,2
1578,60,Female,Diploma,Salaried,76321,109065,48,Car,Rented,3
1579,51,Male,Master,Salaried,133782,71224,24,Personal,Mortgaged,0
1580,54,Male,Bachelor,Salaried,129398,30365,12,Education,Mortgaged,4
1581,44,Male,High School,Business,78973,34663,36,Car,Owned,1
1582,55,Male,Bachelor,Business,72414,109610,60,Home,Owned,1
1583,26,Female,Diploma,Salaried,176674,108376,12,Personal,Rented,3
1584,39,Female,High School,Business,49692,88275,12,Education,Rented,2
1585,50,Male,Master,Salaried,125958,128229,60,Car,Rented,2
1586,27,Male,Diploma,Business,68750,146981,48,Home,Rented,4
1587,30,Female,Master,Self-Employed,172832,65883,24,Home,Rented,4
1588,61,Male,High School,Business,88456,17713,48,Car,Mortgaged,2
1589,52,Male,Bachelor,Business,44085,148686,36,Car,Owned,5
1590,54,Male,Diploma,Business,215036,103097,12,Personal,Mortgaged,2
1591,48,Male,Diploma,Self-Employed,42925,25734,48,Car,Owned,2
1592,35,Male,Master,Salaried,25615,76622,24,Education,Owned,3
1593,50,Male,High School,Business,57083,83267,36,Home,Owned,0
1594,57,Male,Master,Business,130764,149413,48,Education,Mortgaged,4
1595,49,Male,High School,Self-Employed,219391,44435,12,Education,Rented,5
1596,42,Male,Diploma,Salaried,29605,17976,24,Education,Owned,5
1597,24,Female,High School,Business,131093,87910,12,Home,Owned,1
1598,40,Female,Diploma,Self-Employed,64608,141362,12,Home,Mortgaged,2
1599,52,Female,High School,Salaried,148788,135177,36,Home,Mortgaged,2
1600,56,Male,Bachelor,Salaried,39192,50812,24,Car,Rented,0
1601,24,Male,High School,Business,154403,116841,60,Education,Rented,2
1602,47,Female,Bachelor,Business,71330,62907,12,Personal,Owned,4
1603,37,Male,High School,Business,248464,125992,24,Car,Mortgaged,5
1604,32,Female,High School,Business,69949,86876,12,Car,Rented,2
1605,42,Male,Master,Self-Employed,88382,40655,48,Personal,Rented,0
1606,37,Female,Master,Self-Employed,119233,28997,48,Education,Rented,3
1607,30,Female,Diploma,Business,188658,71876,24,Personal,Mortgaged,4
1608,21,Female,Master,Salaried,72243,115233,36,Home,Mortgaged,3
1609,42,Male,High School,Business,120566,127660,60,Education,Mortgaged,1
1610,46,Female,Master,Salaried,78618,37862,48,Car,Mortgaged,0
1611,38,Male,High School,Salaried,229383,57448,36,Home,Mortgaged,1
1612,34,Male,Bachelor,Salaried,158621,89612,60,Home,Owned,1
1613,49,Male,High School,Self-Employed,138168,123849,48,Car,Owned,5
1614,32,Male,Diploma,Salaried,72494,119060,60,Personal,Mortgaged,1
1615,56,Male,Bachelor,Salaried,239045,67104,12,Home,Owned,1
1616,55,Male,Diploma,Self-Employed,43958,44821,24,Home,Mortgaged,0
1617,32,Male,Diploma,Salaried,240851,147007,48,Education,Owned,3
1618,27,Female,Diploma,Salaried,127960,17467,48,Education,Owned,2
1619,49,Female,Master,Business,245592,147145,12,Car,Rented,1
1620,31,Female,Diploma,Salaried,122478,12691,48,Car,Mortgaged,5
1621,53,Male,Bachelor,Salaried,188610,135115,48,Car,Owned,2
1622,26,Male,High School,Salaried,25833,20688,48,Personal,Owned,5
1623,35,Male,Diploma,Salaried,174458,103505,48,Home,Rented,2
1624,52,Male,Bachelor,Salaried,119341,55650,48,Car,Owned,1
1625,31,Female,Diploma,Self-Employed,222850,149901,36,Education,Rented,4
1626,43,Male,High School,Salaried,114240,139158,48,Home,Owned,2
1627,46,Female,Bachelor,Salaried,127955,7590,12,Car,Rented,4
1628,54,Male,Bachelor,Self-Employed,175904,78396,48,Home,Rented,3
1629,54,Female,High School,Self-Employed,228929,134797,60,Home,Mortgaged,2
1630,49,Male,Bachelor,Salaried,190002,72484,60,Home,Mortgaged,0
1631,24,Female,High School,Salaried,183479,131484,12,Car,Owned,5
1632,37,Male,Bachelor,Salaried,24073,107267,36,Home,Mortgaged,3
1633,55,Female,Bachelor,Business,37667,43131,12,Home,Mortgaged,3
1634,33,Male,High School,Business,167107,16924,36,Home,Mortgaged,4
1635,61,Female,High School,Salaried,26732,109191,24,Education,Owned,1
1636,59,Female,Bachelor,Self-Employed,75097,146923,60,Car,Owned,5
1637,35,Male,Bachelor,Salaried,23487,12734,60,Personal,Mortgaged,0
1638,49,Female,High School,Self-Employed,77702,125405,60,Education,Mortgaged,0
1639,49,Male,Master,Self-Employed,114961,10293,36,Home,Owned,4
1640,31,Male,High School,Self-Employed,105107,58203,12,Home,Mortgaged,4
1641,52,Male,Bachelor,Salaried,180147,149892,36,Personal,Rented,3
1642,22,Female,Bachelor,Salaried,127721,72827,60,Personal,Owned,4
1643,34,Female,Bachelor,Self-Employed,91031,148463,60,Education,Owned,1
1644,40,Male,High School,Business,104217,46970,60,Home,Rented,3
1645,42,Male,Bachelor,Business,34781,35796,60,Personal,Mortgaged,3
1646,31,Female,Master,Business,59865,104345,24,Education,Rented,3
1647,47,Female,Diploma,Self-Employed,28469,121245,60,Personal,Mortgaged,0
1648,23,Female,Master,Salaried,65167,88127,36,Home,Mortgaged,5
1649,37,Male,High School,Self-Employed,232810,41389,60,Home,Owned,5
1650,64,Male,Bachelor,Business,39928,8352,48,Home,Owned,0
1651,48,Male,High School,Salaried,227593,127143,24,Home,Mortgaged,3
1652,49,Male,Diploma,Self-Employed,59599,147009,60,Car,Rented,1
1653,41,Male,High School,Self-Employed,167847,98657,48,Car,Owned,2
1654,36,Female,Bachelor,Business,86504,112276,36,Car,Mortgaged,3
1655,57,Male,Diploma,Self-Employed,226990,93672,24,Education,Owned,4
1656,40,Female,Diploma,Salaried,90687,16290,60,Education,Owned,5
1657,26,Female,Bachelor,Business,177876,30123,36,Personal,Owned,2
1658,39,Male,Bachelor,Business,129122,57136,48,Personal,Rented,0
1659,25,Female,Bachelor,Salaried,183331,122278,24,Education,Rented,0
1660,23,Male,High School,Business,106284,7257,60,Personal,Mortgaged,2
1661,21,Female,Master,Self-Employed,105227,72733,36,Education,Rented,5
1662,58,Male,High School,Self-Employed,117556,144294,24,Car,Mortgaged,5
1663,35,Male,High School,Business,63560,130890,48,Education,Mortgaged,4
1664,54,Female,Master,Salaried,47256,131682,60,Education,Owned,0
1665,55,Male,Bachelor,Self-Employed,26125,147076,24,Personal,Owned,0
1666,45,Female,Bachelor,Salaried,24370,112178,48,Personal,Rented,3
1667,44,Male,Master,Self-Employed,24838,62600,48,Education,Mortgaged,1
1668,32,Male,Master,Self-Employed,134479,85952,36,Home,Mortgaged,4
1669,38,Male,High School,Business,77429,139257,48,Personal,Owned,3
1670,35,Female,Diploma,Business,154206,95888,48,Education,Owned,1
1671,64,Female,Master,Salaried,63199,128611,12,Personal,Owned,0
1672,36,Male,High School,Business,97092,59476,48,Home,Rented,1
1673,47,Female,Diploma,Self-Employed,144925,101279,60,Personal,Mortgaged,0
1674,28,Male,Bachelor,Self-Employed,184894,97154,24,Education,Mortgaged,5
1675,45,Female,Bachelor,Salaried,244585,127537,60,Education,Mortgaged,3
1676,37,Female,High School,Salaried,40113,92125,60,Home,Owned,0
1677,49,Male,High School,Self-Employed,214666,79099,36,Education,Rented,1
1678,28,Male,Master,Business,116102,133969,12,Home,Rented,3
1679,35,Male,Bachelor,Business,22669,100833,12,Education,Owned,1
1680,47,Male,High School,Salaried,200499,54240,60,Education,Rented,1
1681,27,Male,Bachelor,Salaried,232689,19772,24,Personal,Rented,2
1682,23,Female,Bachelor,Self-Employed,164010,115990,12,Personal,Mortgaged,0
1683,49,Female,Master,Self-Employed,156789,117315,12,Home,Owned,0
1684,64,Male,Diploma,Salaried,97818,103053,60,Personal,Owned,1
1685,44,Male,Master,Self-Employed,198731,92091,12,Car,Owned,5
1686,23,Male,High School,Salaried,215647,148946,36,Home,Owned,0
1687,40,Female,Master,Salaried,99737,95341,60,Car,Mortgaged,4
1688,35,Male,Master,Business,167361,65896,12,Home,Rented,5
1689,45,Male,Bachelor,Salaried,44406,37822,12,Car,Rented,5
1690,50,Female,Master,Self-Employed,247894,107335,12,Personal,Mortgaged,5
1691,34,Female,High School,Business,32873,122828,60,Personal,Rented,0
1692,27,Female,Diploma,Business,145812,127766,24,Education,Owned,5
1693,37,Female,Master,Self-Employed,102048,137624,48,Car,Mortgaged,5
1694,64,Male,Master,Self-Employed,245535,78331,12,Education,Mortgaged,3
1695,40,Female,Diploma,Self-Employed,43461,141343,48,Home,Owned,0
1696,56,Female,High School,Salaried,171782,85201,48,Car,Owned,5
1697,29,Male,High School,Business,236560,70651,12,Education,Owned,4
1698,58,Male,Master,Salaried,33448,106917,12,Home,Rented,5
1699,42,Male,Bachelor,Salaried,35198,32186,48,Car,Owned,1
1700,22,Female,Master,Salaried,93158,35267,24,Education,Mortgaged,0
1701,44,Male,Diploma,Salaried,219010,44140,48,Car,Rented,3
1702,28,Female,Diploma,Business,201871,36748,24,Car,Rented,4
1703,31,Female,Diploma,Business,245075,95139,36,Education,Mortgaged,2
1704,33,Female,Master,Salaried,186033,139909,24,Personal,Rented,1
1705,37,Male,Master,Self-Employed,194079,69875,60,Personal,Owned,1
1706,28,Female,High School,Business,85470,145682,12,Education,Owned,1
1707,41,Male,Bachelor,Salaried,203328,33615,36,Home,Owned,4
1708,38,Male,Master,Self-Employed,40739,109135,48,Education,Owned,0
1709,50,Male,High School,Self-Employed,104054,39062,24,Education,Rented,0
1710,38,Female,Master,Salaried,78186,60122,36,Car,Mortgaged,5
1711,51,Female,High School,Business,46547,78086,60,Personal,Rented,5
1712,58,Female,High School,Self-Employed,114472,33205,24,Personal,Mortgaged,0
1713,52,Male,Bachelor,Business,105823,23459,48,Personal,Mortgaged,5
1714,31,Female,Master,Business,126887,32729,48,Personal,Owned,0
1715,45,Female,High School,Self-Employed,202503,43585,24,Education,Rented,1
1716,53,Female,Diploma,Salaried,176548,88698,60,Car,Owned,2
1717,58,Female,Diploma,Self-Employed,229483,50635,12,Personal,Rented,1
1718,61,Female,Diploma,Self-Employed,30686,34104,12,Personal,Rented,5
1719,28,Male,Bachelor,Business,168608,19770,48,Car,Owned,2
1720,31,Male,High School,Salaried,54062,133750,60,Education,Rented,2
1721,42,Male,Bachelor,Business,68216,127245,48,Education,Owned,0
1722,44,Male,Master,Self-Employed,176113,129011,12,Education,Mortgaged,3
1723,61,Female,Master,Salaried,51653,60178,48,Personal,Owned,4
1724,37,Male,High School,Salaried,41673,100155,24,Personal,Rented,3
1725,32,Female,Diploma,Salaried,161439,25828,24,Personal,Rented,2
